C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_14_341.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_14_341.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_14_341.jpg, 0, 0, 0, 7.780264E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_14_443.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_14_443.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_14_443.jpg, 0, 0, 0, 7.841405E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_14_543.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_14_543.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_14_543.jpg, 0, 0, 0, 7.84197E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_14_644.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_14_644.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_14_644.jpg, 0, 0, 0, 7.780924E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_14_746.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_14_746.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_14_746.jpg, 0, 0, 0, 7.863337E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_14_847.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_14_847.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_14_847.jpg, 0, 0, 0, 7.792951E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_14_949.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_14_949.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_14_949.jpg, 0, 0, 0, 7.79931E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_15_049.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_15_049.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_15_049.jpg, 0, 0, 0, 7.805684E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_15_149.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_15_149.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_15_149.jpg, 0, 0, 0, 7.883566E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_15_250.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_15_250.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_15_250.jpg, 0, 0, 0, 7.879231E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_15_353.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_15_353.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_15_353.jpg, 0, 0, 0, 7.821092E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_15_453.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_15_453.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_15_453.jpg, 0, 0, 0, 7.8066E-05
C:\Users\fei\Downloads\IMG\center_2021_11_19_22_34_15_553.jpg, C:\Users\fei\Downloads\IMG\left_2021_11_19_22_34_15_553.jpg, C:\Users\fei\Downloads\IMG\right_2021_11_19_22_34_15_553.jpg, 0, 0, 0, 7.836782E-05
